,,GO,ES,DF,AL,PB,RN,CE,SP,SC,PE,SE,MG,BA,RJ,MS,PR,RS,MT,PA,RR,RO,AC,PI,AP,MA,TO,AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2020-03-28',,1,0,0,0,0,0,4,0,1,4,0,0,0,13,0,2,2,0,0,0,0,0,1,0,0,0,1
'2020-03-29',,0,0,1,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
'2020-03-30',,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
'2020-03-31',,0,0,2,1,0,0,2,2,1,0,0,1,1,5,1,0,1,0,0,0,1,0,1,0,0,0,2
'2020-04-01',,0,0,0,0,1,1,2,0,0,2,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
'2020-04-02',,0,1,1,0,0,0,11,3,0,1,2,1,1,13,0,1,1,0,0,0,0,0,0,0,0,0,0
'2020-04-03',,1,3,1,1,0,2,2,0,3,1,0,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0,4
'2020-04-04',,0,1,2,0,1,1,0,8,0,4,0,0,2,11,0,2,1,0,0,1,0,0,0,1,0,0,5
'2020-04-05',,1,1,0,0,2,2,4,3,5,7,1,0,2,6,0,3,1,0,0,0,0,0,0,1,1,0,2
'2020-04-06',,2,0,3,0,0,0,5,0,0,9,1,3,1,7,0,2,0,0,2,0,0,0,0,0,0,0,5
'2020-04-07',,0,0,2,0,0,1,10,6,1,4,0,2,4,18,1,4,1,0,2,0,0,1,0,0,2,0,4
'2020-04-08',,2,0,0,0,0,3,12,7,4,12,0,2,4,17,0,2,1,0,1,0,0,1,1,0,7,0,7
'2020-04-09',,0,0,1,0,3,0,4,6,2,10,0,1,1,16,0,5,3,1,1,0,1,0,1,0,1,0,10
'2020-04-10',,1,1,1,0,4,0,10,7,1,9,0,2,0,25,0,3,2,0,2,2,0,0,1,0,4,0,10
'2020-04-11',,2,2,0,0,0,2,7,2,3,7,0,0,1,8,0,1,1,1,1,0,0,0,0,1,5,0,3
'2020-04-12',,4,0,0,0,2,2,2,2,3,13,0,2,0,15,0,4,1,0,3,0,0,0,0,2,3,0,9
'2020-04-13',,1,5,1,0,0,2,24,4,2,17,0,3,1,12,2,1,0,1,2,0,0,1,1,0,3,0,9
'2020-04-14',,0,3,2,1,3,1,11,6,2,13,0,4,3,42,0,5,2,0,4,0,0,0,0,1,5,0,19
'2020-04-15',,0,1,0,1,5,1,13,18,0,28,0,3,3,41,0,2,1,0,2,0,0,0,0,1,2,1,16
'2020-04-16',,1,7,3,0,3,1,1,15,1,17,0,3,6,36,1,3,0,1,3,0,1,2,0,2,3,0,18
'2020-04-17',,0,2,0,2,2,3,24,13,1,26,0,2,2,40,0,1,3,0,2,0,0,0,0,1,3,0,21
'2020-04-18',,2,2,4,2,2,1,31,6,1,19,1,4,2,46,0,4,2,0,7,0,0,0,1,0,4,0,16
'2020-04-19',,0,3,0,5,1,2,9,5,1,11,0,0,8,15,0,2,0,0,1,0,1,1,1,1,4,0,21
'2020-04-20',,1,1,0,3,3,1,17,1,3,18,0,1,2,20,0,3,3,1,1,0,0,2,2,2,6,0,3
'2020-04-21',,0,0,0,1,1,1,18,2,0,26,0,2,1,39,1,0,0,0,3,0,0,0,2,0,6,0,8
'2020-04-22',,2,3,1,1,6,1,14,9,2,22,2,3,5,29,0,6,0,0,5,0,1,0,1,1,6,0,14
'2020-04-23',,2,6,0,2,1,5,32,22,2,30,1,4,9,40,1,3,2,1,10,0,0,2,0,2,10,1,27
'2020-04-24',,0,5,1,5,4,4,22,17,3,40,0,3,5,40,0,4,2,1,22,0,0,1,1,2,12,0,21
'2020-04-25',,1,4,0,2,2,1,33,31,0,29,1,4,5,45,0,5,3,1,20,0,2,0,1,1,12,0,32
'2020-04-26',,0,5,1,3,3,4,33,9,0,34,0,3,2,30,0,3,2,0,5,1,3,0,1,2,12,0,17
'2020-04-27',,2,5,0,2,1,1,31,26,1,35,1,1,9,32,2,3,6,0,14,0,0,3,2,5,13,0,16
'2020-04-28',,0,15,1,2,3,3,27,35,1,58,1,9,10,61,0,2,3,1,15,2,1,2,2,2,20,0,31
'2020-04-29',,0,6,0,5,5,6,33,24,0,30,1,9,7,56,0,5,5,0,8,0,4,1,2,3,21,1,29
'2020-04-30',,2,10,2,6,4,2,32,13,2,27,0,2,6,60,0,1,1,0,71,1,1,2,0,3,18,0,45
'2020-05-01',,0,8,0,6,5,0,44,17,2,37,2,6,11,67,0,6,7,0,27,1,2,0,0,3,20,0,51
'2020-05-02',,1,3,1,5,7,2,111,16,4,25,0,0,6,49,0,1,4,1,38,1,5,3,2,3,20,1,25
'2020-05-03',,0,11,2,6,2,2,39,3,0,23,0,1,5,49,1,3,3,0,36,2,1,2,2,3,13,0,47
'2020-05-04',,0,8,0,8,3,1,35,3,0,39,3,1,13,46,0,1,9,1,21,0,1,4,0,6,12,2,36
'2020-05-05',,5,11,0,8,6,6,83,31,3,58,4,4,5,58,0,5,5,0,39,0,4,1,1,6,22,1,65
'2020-05-06',,11,12,1,9,7,4,54,30,4,54,2,3,14,82,0,2,8,0,23,2,4,4,1,1,20,2,102
'2020-05-07',,0,10,1,9,9,4,53,33,4,42,2,9,5,189,0,3,3,0,18,1,4,3,5,5,14,0,55
'2020-05-08',,5,9,2,10,13,5,63,46,0,82,3,5,18,109,1,2,1,1,105,2,2,2,2,5,25,0,68
'2020-05-09',,-2,7,2,6,10,6,99,23,1,45,5,7,13,150,0,1,4,2,63,2,2,1,1,3,25,0,88
'2020-05-10',,0,9,3,11,11,1,52,36,1,75,1,1,6,61,0,2,2,2,74,3,2,2,4,3,24,2,42
'2020-05-11',,2,15,2,12,4,5,75,4,4,40,3,1,9,56,0,2,8,1,56,2,4,4,3,1,20,1,31
'2020-05-12',,3,16,2,12,15,0,91,29,4,70,0,6,14,158,1,2,6,0,156,3,3,6,4,13,24,2,63
'2020-05-13',,10,21,2,14,3,11,109,25,0,67,5,8,11,122,1,4,0,1,82,2,0,1,8,8,21,7,62
'2020-05-14',,3,16,3,13,3,12,24,42,5,74,5,4,23,197,1,2,9,3,117,8,6,3,3,7,26,2,75
'2020-05-15',,3,11,4,10,10,5,63,38,1,83,3,7,19,191,0,1,6,2,82,3,6,2,0,2,26,1,96
'2020-05-16',,2,11,1,12,13,14,138,29,2,80,3,3,6,176,1,3,6,1,54,9,7,2,5,5,28,3,44
'2020-05-17',,1,14,3,11,11,3,27,23,2,55,4,5,12,101,0,1,10,0,40,2,5,1,7,11,25,4,38
'2020-05-18',,3,16,7,11,13,7,107,15,2,123,2,5,16,137,1,3,2,2,90,9,3,7,8,8,27,1,20
'2020-05-19',,0,23,6,10,12,14,108,61,6,101,4,6,12,227,0,2,7,3,190,1,10,5,5,9,28,6,58
'2020-05-20',,6,16,5,20,11,10,44,28,3,93,6,9,36,159,1,8,10,0,114,3,3,4,2,6,30,4,70
'2020-05-21',,7,21,7,11,15,8,261,30,4,90,7,14,14,175,0,4,5,2,219,8,11,2,4,9,29,5,59
'2020-05-22',,8,34,6,18,3,3,90,39,1,130,6,10,23,245,0,5,6,3,85,11,5,2,2,6,30,2,49
'2020-05-23',,2,20,5,21,10,3,57,61,0,87,4,15,14,248,0,4,4,0,64,-2,9,7,6,5,29,2,75
'2020-05-24',,0,29,9,15,14,16,16,36,6,56,7,8,47,88,0,3,4,3,147,3,6,5,8,1,32,1,14
'2020-05-25',,1,19,10,21,7,12,169,22,3,47,10,4,17,112,0,3,17,1,224,2,0,5,3,5,30,6,23
'2020-05-26',,8,22,10,17,7,8,110,31,12,80,13,3,18,256,0,3,6,2,97,625,12,8,9,5,33,6,71
'2020-05-27',,4,24,9,14,12,22,68,55,6,140,11,5,35,244,1,3,6,3,76,-609,4,8,15,10,36,1,39
'2020-05-28',,8,27,9,17,20,0,62,54,4,97,8,11,39,251,0,7,4,5,159,0,5,9,4,15,34,3,73
'2020-05-29',,3,22,12,21,9,26,126,57,4,103,7,2,39,223,0,4,3,5,123,6,3,13,8,9,24,2,47
'2020-05-30',,3,23,8,18,20,37,97,47,2,71,7,6,29,198,1,8,2,1,73,2,6,7,11,8,21,1,36
'2020-05-31',,2,21,8,18,13,0,54,16,7,67,9,7,29,67,1,1,6,3,23,6,5,6,4,7,23,2,5
'2020-06-01',,3,10,1,18,10,18,178,10,3,68,8,7,34,118,0,8,8,5,2,0,3,13,7,6,21,3,19
'2020-06-02',,23,50,6,21,9,18,233,67,2,58,6,8,34,224,0,9,13,4,115,4,13,4,12,9,21,3,31
'2020-06-03',,4,34,14,24,35,26,184,37,3,77,8,16,26,324,0,6,13,6,153,4,8,6,12,10,31,3,36
'2020-06-04',,9,38,5,25,24,10,208,56,4,120,6,14,28,316,0,10,7,7,223,3,14,10,10,7,34,5,45
